source,update,global_step,episode_return,env_return,eval_mean_delivered_food,eval_mean_delivered_food_per_1000_ant_steps,delivery_events,pickup_events,mean_carrying_ants,final_mean_visited_cell_fraction,write_action_nonzero_rate,entropy,approx_kl,grad_norm,value_loss
50x50 largo,1,1280.0,0.767012357711792,0.0,,,0.0,17.0,0.510937511920929,0.059449996799230576,0.11269531399011612,0.2768101096153259,0.0013661037664860487,26.731853485107422,14.596355438232422
50x50 largo,2,2560.0,0.6582124829292297,0.0,,,0.0,18.0,1.4382812976837158,0.11247500032186508,0.09238281100988388,0.21595558524131775,0.0002577212289907038,29.2764835357666,14.074078559875488
50x50 largo,3,3840.0,0.6572787761688232,0.125,,,2.0,12.0,2.582812547683716,0.15872499346733093,0.07871093600988388,0.23040524125099182,0.0004233255749568343,20.825912475585938,4.995437145233154
50x50 largo,4,5120.0,0.5068917274475098,0.0625,,,1.0,2.0,2.9078125953674316,0.2024499922990799,0.08964844048023224,0.26624637842178345,0.0007107509300112724,13.840547561645508,2.293548345565796
50x50 largo,5,6400.0,0.5176799893379211,0.125,,,2.0,9.0,3.12109375,0.24105000495910645,0.10800781100988388,0.26970532536506653,0.0003554885624907911,11.330676078796387,1.8027989864349365
50x50 largo,6,7680.0,0.34349411725997925,0.0,,,0.0,4.0,3.4203126430511475,0.27812498807907104,0.10468750447034836,0.2332971692085266,0.002337982412427664,5.113985061645508,1.1809356212615967
50x50 largo,7,8960.0,0.2952462434768677,0.0,,,0.0,1.0,3.5843751430511475,0.3129500150680542,0.16757813096046448,0.3047434091567993,0.0027292082086205482,7.0009684562683105,1.8266876935958862
50x50 largo,8,10240.0,0.5402345061302185,0.25,,,4.0,3.0,3.5367188453674316,0.3482999801635742,0.1494140625,0.31983545422554016,0.001752130570821464,5.827756404876709,1.0558232069015503
50x50 largo,9,11520.0,0.29694098234176636,0.0625,,,1.0,2.0,3.632031202316284,0.37825000286102295,0.19218750298023224,0.3454795479774475,0.0007750968215987086,6.037946701049805,0.8983978629112244
50x50 largo,10,12800.0,0.18946775794029236,0.0,,,0.0,2.0,3.67578125,0.4037249982357025,0.19687500596046448,0.3951703906059265,0.0019500772468745708,5.712027549743652,1.0249602794647217
50x50 largo,11,14080.0,0.27589473128318787,0.125,,,2.0,1.0,3.6781251430511475,0.42489999532699585,0.24941407144069672,0.418132483959198,0.0010288712801411748,10.206713676452637,0.6531605124473572
50x50 largo,12,15360.0,0.16799962520599365,0.0625,,,1.0,3.0,3.73046875,0.43982499837875366,0.24824218451976776,0.45060503482818604,0.0020008364226669073,6.801373481750488,0.40280237793922424
50x50 largo,13,16640.0,0.14557887613773346,0.0625,,,1.0,0.0,3.75390625,0.45419999957084656,0.27031251788139343,0.43218398094177246,0.0017123899888247252,4.419131278991699,0.26875290274620056
50x50 largo,14,17920.0,0.1358611285686493,0.0625,,,1.0,2.0,3.785937547683716,0.4668999910354614,0.24179688096046448,0.39546817541122437,0.0015948190120980144,6.34433650970459,0.2569587528705597
50x50 largo,15,19200.0,0.12912024557590485,0.0625,,,1.0,2.0,3.8531250953674316,0.47919997572898865,0.21835938096046448,0.38025039434432983,0.0013901261845603585,3.808363914489746,0.16260410845279694
