label,critic,delivery_events,pickup_events,env_return,episode_return,write_nonzero_rate,nonzero_byte_fraction
resnet one-food,resnet CNN,0.0,0.0,0.0,-1.2105249166488647,0.8843750357627869,0.17830400168895721
NPC teacher,strided CNN,0.0,0.0,0.0,-1.1977999210357666,0.9002500176429749,0.840399980545044
distance auto,set CNN,0.0,0.0,0.0,26.25146484375,0.9365625381469727,0.8993920087814331
reset boundary,set CNN,654.0,869.0,654.0,726.41748046875,0.32570314407348633,0.002208000048995018
byte decay,set CNN,175.0,270.0,175.0,164.8612518310547,0.03821093961596489,0.0002880000101868063
