global_step,autocurriculum_max_active_size,autocurriculum_mean_active_size,autocurriculum_completed_stages,delivery_events,pickup_events,env_return,episode_return,wandb_run_url
1280.0,4.0,4.0,0.0,20.0,30.0,1.25,1.71875,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
25600.0,7.0,6.253125190734863,1.0,12.0,9.0,0.75,0.890625,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
51200.0,9.0,7.666406154632568,2.0,6.0,9.0,0.375,0.515625,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
76800.0,10.0,8.75,0.0,3.0,4.0,0.1875,0.25,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
102400.0,10.0,9.375,0.0,2.0,6.0,0.125,0.21875,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
128000.0,11.0,9.9375,0.0,2.0,5.0,0.125,0.203125,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
153600.0,11.0,10.6875,0.0,2.0,2.0,0.125,0.15625,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
179200.0,8.0,6.431250095367432,1.0,13.0,11.0,0.8125,0.984375,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
204800.0,10.0,8.6875,0.0,6.0,8.0,0.375,0.5,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
230400.0,11.0,9.881250381469727,1.0,7.0,5.0,0.4375,0.515625,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
256000.0,12.0,11.068750381469727,1.0,4.0,3.0,0.25,0.296875,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
281600.0,14.0,12.108593940734863,2.0,5.0,6.0,0.3125,0.40625,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
307200.0,15.0,13.43515682220459,3.0,5.0,4.0,0.3125,0.375,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
332800.0,7.0,6.046875,2.0,17.0,16.0,1.0625,1.3125,https://wandb.ai/jerefigueiredo-universidad-de-san-andr-s/cool-antz/runs/e5ymgvil
