commit	full_hash	date	family	status	old_path	path	subject
cddfc09	cddfc09ef7971c8a1e010f836dd392ae5266d754	2026-06-10T21:51:31-03:00	communication-memory-bytes	M	.	ant_byte_env/env.py	fix: render cookie counts in white
27c36fc	27c36fc625152ce390619f7a5e308b9ba7e4c28a	2026-06-10T21:55:52-03:00	communication-memory-bytes	M	.	README.md	fix: block byte writes on food and hub tiles
27c36fc	27c36fc625152ce390619f7a5e308b9ba7e4c28a	2026-06-10T21:55:52-03:00	communication-memory-bytes	M	.	ant_byte_env/env.py	fix: block byte writes on food and hub tiles
27c36fc	27c36fc625152ce390619f7a5e308b9ba7e4c28a	2026-06-10T21:55:52-03:00	communication-memory-bytes	M	.	tests/test_env_api.py	fix: block byte writes on food and hub tiles
59ca795	59ca7952367dae7015769083e76f7986bc4ed03f	2026-06-10T21:57:30-03:00	foundation-task-contract	M	.	README.md	chore: enlarge random rollout defaults
59ca795	59ca7952367dae7015769083e76f7986bc4ed03f	2026-06-10T21:57:30-03:00	foundation-task-contract	M	.	launch_random_rollout.py	chore: enlarge random rollout defaults
59ca795	59ca7952367dae7015769083e76f7986bc4ed03f	2026-06-10T21:57:30-03:00	foundation-task-contract	M	.	tests/test_launcher.py	chore: enlarge random rollout defaults
9771434	97714340303698c51965e6273b18903467b4b523	2026-06-10T22:06:48-03:00	communication-memory-bytes	M	.	README.md	feat: add model-controlled ant agents
9771434	97714340303698c51965e6273b18903467b4b523	2026-06-10T22:06:48-03:00	communication-memory-bytes	M	.	ant_byte_env/__init__.py	feat: add model-controlled ant agents
9771434	97714340303698c51965e6273b18903467b4b523	2026-06-10T22:06:48-03:00	communication-memory-bytes	A	.	ant_byte_env/agent.py	feat: add model-controlled ant agents
9771434	97714340303698c51965e6273b18903467b4b523	2026-06-10T22:06:48-03:00	communication-memory-bytes	A	.	tests/test_agent.py	feat: add model-controlled ant agents
5ec0431	5ec043148b7eef8dd4d12fad9e6847069417f6a3	2026-06-10T22:18:28-03:00	communication-memory-bytes	M	.	README.md	refactor: remove ant agent abstraction
5ec0431	5ec043148b7eef8dd4d12fad9e6847069417f6a3	2026-06-10T22:18:28-03:00	communication-memory-bytes	M	.	ant_byte_env/__init__.py	refactor: remove ant agent abstraction
5ec0431	5ec043148b7eef8dd4d12fad9e6847069417f6a3	2026-06-10T22:18:28-03:00	communication-memory-bytes	D	.	ant_byte_env/agent.py	refactor: remove ant agent abstraction
5ec0431	5ec043148b7eef8dd4d12fad9e6847069417f6a3	2026-06-10T22:18:28-03:00	communication-memory-bytes	D	.	tests/test_agent.py	refactor: remove ant agent abstraction
62a2e0a	62a2e0a0bd4da85d998bf929e270bb0522c20b7d	2026-06-10T22:22:49-03:00	foundation-task-contract	M	.	README.md	docs: add random rollout video
62a2e0a	62a2e0a0bd4da85d998bf929e270bb0522c20b7d	2026-06-10T22:22:49-03:00	foundation-task-contract	A	.	docs/media/random-rollout.mp4	docs: add random rollout video
f6baf53	f6baf53463088c267607bf96b162751cf3de642a	2026-06-10T22:25:49-03:00	jax-mappo-training-core	M	.	README.md	docs: remove rollout video fallback link
4f00c61	4f00c612ff719ce11ac1e4dc95787ae8e20b760f	2026-06-10T22:32:03-03:00	foundation-task-contract	M	.	README.md	docs: embed rollout gif in readme
4f00c61	4f00c612ff719ce11ac1e4dc95787ae8e20b760f	2026-06-10T22:32:03-03:00	foundation-task-contract	A	.	docs/media/random-rollout.gif	docs: embed rollout gif in readme
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	.gitignore	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	README.md	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	ant_byte_env/__init__.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	ant_byte_env/env.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	ant_byte_env/vault.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	notebooks/train_mappo_curriculum.ipynb	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	pyproject.toml	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	M	.	tests/test_env_api.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	tests/test_train_mappo.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	tests/test_vault.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	train_mappo.py	feat: add torchrl mappo curriculum
451af73	451af73f31baf4109c934bcf2504b51fac9d3806	2026-06-11T15:29:55-03:00	communication-memory-bytes	A	.	vault/.gitkeep	feat: add torchrl mappo curriculum
774d196	774d196bac582dd90143f7ca54075fbe3136c631	2026-06-11T15:47:01-03:00	communication-memory-bytes	M	.	README.md	feat: add jax environment core
774d196	774d196bac582dd90143f7ca54075fbe3136c631	2026-06-11T15:47:01-03:00	communication-memory-bytes	A	.	ant_byte_env/jax_env.py	feat: add jax environment core
774d196	774d196bac582dd90143f7ca54075fbe3136c631	2026-06-11T15:47:01-03:00	communication-memory-bytes	M	.	pyproject.toml	feat: add jax environment core
774d196	774d196bac582dd90143f7ca54075fbe3136c631	2026-06-11T15:47:01-03:00	communication-memory-bytes	A	.	tests/test_jax_env.py	feat: add jax environment core
774d196	774d196bac582dd90143f7ca54075fbe3136c631	2026-06-11T15:47:01-03:00	communication-memory-bytes	M	.	tests/test_launcher.py	feat: add jax environment core
ac72984	ac72984cbc3b77451ea3cef7a0543a9053d3e0f2	2026-06-11T16:30:15-03:00	jax-mappo-training-core	M	.	README.md	feat: add jax mappo trainer
ac72984	ac72984cbc3b77451ea3cef7a0543a9053d3e0f2	2026-06-11T16:30:15-03:00	jax-mappo-training-core	M	.	tests/test_launcher.py	feat: add jax mappo trainer
ac72984	ac72984cbc3b77451ea3cef7a0543a9053d3e0f2	2026-06-11T16:30:15-03:00	jax-mappo-training-core	A	.	tests/test_train_mappo_jax.py	feat: add jax mappo trainer
ac72984	ac72984cbc3b77451ea3cef7a0543a9053d3e0f2	2026-06-11T16:30:15-03:00	jax-mappo-training-core	A	.	train_mappo_jax.py	feat: add jax mappo trainer
ac72984	ac72984cbc3b77451ea3cef7a0543a9053d3e0f2	2026-06-11T16:30:15-03:00	jax-mappo-training-core	A	.	train_mappo_jax_core.py	feat: add jax mappo trainer
fc5de3f	fc5de3f0dbe177131042efeb37d74d1d9e9577fb	2026-06-11T16:37:43-03:00	jax-mappo-training-core	M	.	notebooks/train_mappo_curriculum.ipynb	docs: update curriculum notebook for jax training
028eacb	028eacbc6a09abdd28ad26b7bc100dba25d26175	2026-06-11T16:43:53-03:00	jax-mappo-training-core	M	.	notebooks/train_mappo_curriculum.ipynb	fix: avoid repeated jax trainer startup in notebook
028eacb	028eacbc6a09abdd28ad26b7bc100dba25d26175	2026-06-11T16:43:53-03:00	jax-mappo-training-core	M	.	tests/test_train_mappo_jax.py	fix: avoid repeated jax trainer startup in notebook
028eacb	028eacbc6a09abdd28ad26b7bc100dba25d26175	2026-06-11T16:43:53-03:00	jax-mappo-training-core	M	.	train_mappo_jax.py	fix: avoid repeated jax trainer startup in notebook
b186625	b186625531b6b2cfa656abfecd2bf9be93ed2ccd	2026-06-11T16:59:30-03:00	jax-mappo-training-core	M	.	README.md	docs: add cuda jax install extra
b186625	b186625531b6b2cfa656abfecd2bf9be93ed2ccd	2026-06-11T16:59:30-03:00	jax-mappo-training-core	M	.	notebooks/train_mappo_curriculum.ipynb	docs: add cuda jax install extra
b186625	b186625531b6b2cfa656abfecd2bf9be93ed2ccd	2026-06-11T16:59:30-03:00	jax-mappo-training-core	M	.	pyproject.toml	docs: add cuda jax install extra
345612f	345612ff18c2fcc4f5a696c94ec74ba4b79fc9fe	2026-06-11T19:55:43-03:00	jax-mappo-training-core	M	.	README.md	feat: add actor border mask
345612f	345612ff18c2fcc4f5a696c94ec74ba4b79fc9fe	2026-06-11T19:55:43-03:00	jax-mappo-training-core	M	.	tests/test_train_mappo.py	feat: add actor border mask
345612f	345612ff18c2fcc4f5a696c94ec74ba4b79fc9fe	2026-06-11T19:55:43-03:00	jax-mappo-training-core	M	.	tests/test_train_mappo_jax.py	feat: add actor border mask
345612f	345612ff18c2fcc4f5a696c94ec74ba4b79fc9fe	2026-06-11T19:55:43-03:00	jax-mappo-training-core	M	.	train_mappo.py	feat: add actor border mask
345612f	345612ff18c2fcc4f5a696c94ec74ba4b79fc9fe	2026-06-11T19:55:43-03:00	jax-mappo-training-core	M	.	train_mappo_jax_core.py	feat: add actor border mask
ebe50af	ebe50af7307756f580586c9719808d669a58e57b	2026-06-11T20:15:21-03:00	jax-mappo-training-core	M	.	notebooks/train_mappo_curriculum.ipynb	fix: stabilize jax curriculum notebook
4a0b853	4a0b8536e99a04377129fa2864271c1dd388a9fd	2026-06-11T20:44:41-03:00	communication-memory-bytes	A	.	notebooks/train_jax_communication_curriculum.ipynb	feat: add jax communication curriculum notebook
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	M	.	launch_random_rollout.py	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	M	.	pyproject.toml	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/__init__.py	src/ant_byte_env/__init__.py	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/assets/ant.png	src/ant_byte_env/assets/ant.png	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/assets/food.png	src/ant_byte_env/assets/food.png	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/assets/hub.png	src/ant_byte_env/assets/hub.png	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/assets/tile.png	src/ant_byte_env/assets/tile.png	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/env.py	src/ant_byte_env/env.py	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/jax_env.py	src/ant_byte_env/jax_env.py	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/sprites.py	src/ant_byte_env/sprites.py	chore: move package to src layout
3d9fae8	3d9fae8bac1956142f9bb94393e5e67c5ef45f59	2026-06-11T21:06:17-03:00	communication-memory-bytes	R100	ant_byte_env/vault.py	src/ant_byte_env/vault.py	chore: move package to src layout
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/__init__.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/__init__.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/checkpointing.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/cli.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/curriculum.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/evaluation.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/model.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/observations.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/rollout.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/runner.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/torch_mappo/visualization.py	refactor: split torch mappo trainer
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	M	.	tests/test_train_mappo.py	refactor: split torch mappo trainer
